file,total_points,wyoming_points,wyoming_point_fraction,copied_to_wyoming_folder
10641416812.gpx,448,0,0.0,False
10683256038.gpx,223,0,0.0,False
10736646593.gpx,310,0,0.0,False
11150022329.gpx,170,0,0.0,False
11155222732.gpx,261,0,0.0,False
11219908604.gpx,289,0,0.0,False
11342039017.gpx,629,0,0.0,False
11350208148.gpx,691,0,0.0,False
11364977931.gpx,636,0,0.0,False
11365539772.gpx,308,0,0.0,False
11442751660.gpx,1432,1432,1.0,True
11451343201.gpx,2175,2175,1.0,True
11468078246.gpx,323,323,1.0,True
11483344542.gpx,771,771,1.0,True
11490180934.gpx,2251,2251,1.0,True
11497457805.gpx,1634,1634,1.0,True
11544250001.gpx,577,577,1.0,True
11576297216.gpx,3570,3570,1.0,True
11599347399.gpx,1255,1255,1.0,True
11615560239.gpx,2307,2307,1.0,True
11640338563.gpx,2081,2081,1.0,True
11670150528.gpx,2722,2722,1.0,True
11708900147.gpx,2279,2279,1.0,True
11724515044.gpx,2082,2082,1.0,True
11760601318.gpx,1144,1144,1.0,True
11771849885.gpx,3795,3795,1.0,True
11825164511.gpx,1319,1319,1.0,True
11834979896.gpx,3251,3251,1.0,True
11881557979.gpx,644,0,0.0,False
12124548155.gpx,2219,2219,1.0,True
12183688037.gpx,264,264,1.0,True
12183688279.gpx,701,701,1.0,True
12232458846.gpx,676,0,0.0,False
12462427568.gpx,4069,0,0.0,False
12497225331.gpx,206,0,0.0,False
12586171136.gpx,11778,0,0.0,False
12672054067.gpx,683,0,0.0,False
12930550126.gpx,134,0,0.0,False
12976564182.gpx,5960,0,0.0,False
14428288593.gpx,1366,0,0.0,False
14428290269.gpx,1486,0,0.0,False
14428290362.gpx,1392,0,0.0,False
14469649556.gpx,1212,0,0.0,False
14470732416.gpx,1429,0,0.0,False
14964983089.gpx,2282,2282,1.0,True
15035074391.gpx,1276,1276,1.0,True
15095512880.gpx,2554,2554,1.0,True
15126389642.gpx,2144,2144,1.0,True
15429093664.gpx,2662,2662,1.0,True
16974246552.gpx,458,0,0.0,False
17591954449.gpx,283,0,0.0,False
18736016400.gpx,768,0,0.0,False
6789245985.gpx,591,0,0.0,False
6794177428.gpx,617,0,0.0,False
6808877290.gpx,469,0,0.0,False
6849982992.gpx,1202,0,0.0,False
6867803694.gpx,566,0,0.0,False
6873278872.gpx,664,0,0.0,False
6878462460.gpx,519,0,0.0,False
6883178704.gpx,755,0,0.0,False
6904679539.gpx,609,0,0.0,False
6932048190.gpx,1503,0,0.0,False
6941988157.gpx,588,0,0.0,False
7003567981.gpx,176,0,0.0,False
7003948470.gpx,1141,0,0.0,False
7004102109.gpx,177,0,0.0,False
7299966148.gpx,75,75,1.0,True
7328696502.gpx,821,821,1.0,True
7330878523.gpx,2355,2355,1.0,True
7341655193.gpx,973,973,1.0,True
7342010815.gpx,811,811,1.0,True
7376267144.gpx,2209,2209,1.0,True
7384533542.gpx,756,756,1.0,True
7405804035.gpx,2313,2313,1.0,True
7411522309.gpx,694,694,1.0,True
7422428594.gpx,374,374,1.0,True
7448687126.gpx,1601,1601,1.0,True
7448687589.gpx,2945,2945,1.0,True
7486642637.gpx,1739,1739,1.0,True
7556217006.gpx,948,948,1.0,True
7644647754.gpx,350,0,0.0,False
7738751339.gpx,404,0,0.0,False
7755998667.gpx,606,0,0.0,False
7765863203.gpx,391,0,0.0,False
7958575030.gpx,288,0,0.0,False
8220862231.gpx,270,0,0.0,False
8228746818.gpx,263,0,0.0,False
8228840463.gpx,399,0,0.0,False
8272471475.gpx,676,0,0.0,False
9380005819.gpx,1776,1776,1.0,True
9414723561.gpx,1821,1821,1.0,True
9458887440.gpx,1220,1220,1.0,True
9509698747.gpx,794,794,1.0,True
9509710869.gpx,2478,2478,1.0,True
9509712471.gpx,2378,2378,1.0,True
9509712511.gpx,2605,2605,1.0,True
9546661709.gpx,1196,1196,1.0,True
9553230006.gpx,1763,1763,1.0,True
9626441545.gpx,176,0,0.0,False
9635667947.gpx,592,0,0.0,False
9654720459.gpx,412,0,0.0,False
9654918878.gpx,290,0,0.0,False
9669792871.gpx,290,0,0.0,False
9691368020.gpx,479,0,0.0,False
9699703644.gpx,401,0,0.0,False
9705514595.gpx,680,0,0.0,False
9715325569.gpx,627,0,0.0,False
9719199506.gpx,228,0,0.0,False
9725239835.gpx,675,0,0.0,False
9735787968.gpx,492,0,0.0,False
9745691394.gpx,520,0,0.0,False
