file,original_points,cleaned_points,removed_duplicate_time_points,untimed_points_kept
BlackButte2024-09-07.gpx,227,52,175,0
BradleyMountain2019-06-13.gpx,2696,482,2214,0
BuckMountain2024-09-09.gpx,3000,249,2751,0
CementRidge2025-05-12.gpx,151,29,122,0
ClosedBenchmark2024-07-27.gpx,2189,631,1558,0
FrancsPeak2025-07-26.gpx,2110,449,1661,0
FremontPeak2025-08-17.gpx,1663,403,1260,0
GannettPeak2023-07-04.gpx,2992,1526,1466,0
GannettPeak2024-10-05.gpx,2850,1218,1632,0
GrandTeton2024-07-31.gpx,2999,874,2125,0
GrandViewPoint2024-01-27.gpx,2537,208,2329,0
LakeMountain2024-07-07.gpx,2931,442,2489,0
McIntoshPeak2023-11-04.gpx,494,171,323,0
MedicineBowPeak-WestRidge2019-08-09.gpx,1126,230,896,0
MedicineBowPeak-WestRidge2024-06-14.gpx,876,189,687,0
MedicineBowPeak2023-09-15.gpx,1409,204,1205,0
MedicineBowPeak2025-07-21.gpx,3000,323,2677,0
MiddleTeton2023-04-15.gpx,1058,417,641,0
MountWashakie2020-07-05.gpx,2327,210,2117,0
NiobraraCountyHighPoint2025-04-26.gpx,333,72,261,0
NorthBrecciaCliffs2018-09-05.gpx,1383,334,1049,0
OwlCreekMountainsHighPoint2021-07-14.gpx,59,18,41,0
ProspectorsMountain2018-06-15.gpx,1192,138,1054,0
SepulcherMountain2023-01.gpx,802,281,521,0
SheepMountain-EastPeak2023-05-06.gpx,614,154,460,0
SubletteMountain2021-06-13.gpx,2102,167,1935,0
SublettePeak2024-07-13.gpx,802,104,698,0
SymmetrySpire2023-08-31.gpx,2065,429,1636,0
WindRiverPeak2025-08-08.gpx,2742,619,2123,0
