file,activity_name,segment_index,slope_angle_deg,speed_mph,elapsed_seconds,midpoint_elevation_ft,rise_ft,start_time,start_lat,start_lon,end_lat,end_lon,mid_lat,mid_lon
9380005819.gpx,the Backdoor Cut,272,40.353,13.536,6.61,10918,111.5,2023-07-02T21:01:10.410933+00:00,43.73252794720683,-110.79486599812694,43.73273876864884,-110.79511421004214,43.73263335792784,-110.79499010408455
15429093664.gpx,Cathedral Traverse (valhalla var),270,-50.272,11.973,7.47,12207,-157.92,2025-08-11T16:57:33.668722+00:00,43.74370818497852,-110.80033590666906,43.7440348261147,-110.80022888790353,43.74387150554661,-110.8002823972863
9414723561.gpx,Albright and Static w Mark,149,-42.835,11.695,7.65,7798,-121.67,2023-07-08T15:26:12.454868+00:00,43.658584915936295,-110.8276350840637,43.65885560991355,-110.82731537715551,43.65872026292492,-110.82747523060961
11576297216.gpx,Yuck,390,63.06,11.351,7.88,11291,258.23,2024-06-04T16:31:18.182940+00:00,43.71927566891723,-110.80588640179782,43.71894289440803,-110.80570305174483,43.719109281662625,-110.80579472677132
11724515044.gpx,Swing and a miss,329,-34.256,9.531,9.39,11103,-89.37,2024-06-24T00:03:30.894426+00:00,43.73389863344535,-110.80720329621045,43.73368010456025,-110.80680805730105,43.7337893690028,-110.80700567675575
11451343201.gpx,Wister 👍,350,-35.908,9.334,9.59,8952,-95.03,2024-05-19T19:51:06.918837+00:00,43.70679170138721,-110.80219293157293,43.70704035892777,-110.80185405705987,43.70691603015749,-110.8020234943164
15429093664.gpx,Cathedral Traverse (valhalla var),274,-30.441,9.321,9.6,12258,-77.12,2025-08-11T16:58:27.861907+00:00,43.743775314242285,-110.80030434287885,43.74394843806288,-110.80016453684259,43.74386187615258,-110.80023443986072
7376267144.gpx,2/3,411,-32.198,9.179,9.75,10047,-82.63,2022-06-26T22:47:00.936289+00:00,43.72294285192026,-110.79499022337939,43.723233942527536,-110.79473842298898,43.7230883972239,-110.79486432318419
9380005819.gpx,the Backdoor Cut,274,-43.073,8.917,10.03,10827,-122.69,2023-07-02T21:01:29.167452+00:00,43.73267743240126,-110.79474052047324,43.73247599328157,-110.79433855061951,43.732576712841414,-110.79453953554638
